一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
劉;slaughter;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 6-4-2007(33): Because the police had confiscated the _swords_ (though they got a _receipt_ in return) from the group of men protecting the _gold_ transport, bandits attacked them with _sabers_ and **slaughter** ed every last one of them.;2) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 5-5-2009(21): The _ransom note_ explained that if the _gold_ was not received by the following morning, the victim would be **slaughtered** with a _saber_.;3) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 13-10-2008(10): A guy brought a _receipt_ and a _sword_ to Wal-Mart customer service asking for a refund in _gold_ , but when they didn't give it to him, he pulled out another _saber_ and **slaughter** ed all the employees.;4) [[bennyb](http://kanji.koohii.com/profile/bennyb)] 11-4-2010(6): Xtra info: In case anyone's wondering about the actual relevance of this character: Nelson's Dict. lists it as meaning "axe" or "kill," and only gives りゅう as a reading. RTK3 book lists the compound 劉封 りゅうほう, the "name of an early Han- dynasty emperor." I bet your best chance of seeing this in "the wild" (outside rtk3) would be in a name, esp. a samurai-drama ( 時代劇 ).;5) [[cameron_en](http://kanji.koohii.com/profile/cameron_en)] 13-11-2008(4): Officer: "Do you have a receipt for that _dagger_?" Boy: "Well, no.. It's just a piece of scrap metal" Officer: "In that case I'm gonna have to **slaughter** you with my _sabre_!".
剃;shave;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 9-10-2006(89): The _younger brother_ wants to look cool and **shave** s himself with a _saber_ instead of a razor.;2) [[Fishface](http://kanji.koohii.com/profile/Fishface)] 28-1-2010(9): My _little brother_ kept asking me to teach him to **shave**. I got a little tired of his requests so I told him to try it himself using a _sabre._ Long story short, he won't be annoying me anymore.;3) [[tuuli](http://kanji.koohii.com/profile/tuuli)] 13-11-2008(6): Your _younger brother_ wants to **shave** too, so he takes his toy _saber_ since you won't give him a razor.;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 13-10-2008(4): My _younger brother_ looks like _Sabre_ tooth and needs to **shave**.;5) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 28-6-2008(2): Your _little brother_ has been trying to sneak into Dad's medicine cabinet and **shave** with his razor. Dad is worried he'll cut himself, so he locks it up. Determined to be cool like the big kids, _little bro_ goes to the mantle and takes the _saber_ off and starts **shaving**. You walk in on him while he's doing this and he cuts up his face!
厭;despondent;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 19-8-2006(73): The poor _chihuahua_ who had fallen down a _cliff_ was totally **despondent** about his position. He saw the _sun_ and the _moon_ pass by, but expected no rescue any more.;2) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 28-6-2008(7): While you may know the story of Hachikou, this is about a _chihuahua_ that lost its master. They used to play a game - _Sun_ and _Moon_ \- where the master would stand at the top of a cliff and wave his hands as if to resemble sunrays, and the dog would lie on the ground in a crescent shape - then they would switch. But one day the master fell! The dog, for years after, would go to the spot where he fell at _sun_ and _moon_ rise and look **despondent**. Imagine the **despondent** puppydog eyes.;3) [[koohiikun](http://kanji.koohii.com/profile/koohiikun)] 21-6-2010(3): Under a _cliff_ , the _sun_ beating on its _flesh_ , our _chihuahua_ is **despondent** realizing there's no Taco Bell around here.;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 13-10-2008(2): A **despondent** _chihuahua_ sits at the base of the _cliff_ and watches the _sun_ and _moon_ cycle around.;5) [[Boy.pockets](http://kanji.koohii.com/profile/Boy.pockets)] 15-1-2011(1): The _chihuahua_ had become **despondent** as the _sun_ was going down and the _moon_ was coming p and he was still stuck at the base of the _cliff_.
雁;wild goose;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 23-4-2007(23): I've been sent to chase the **wild goose**! I'm here at the top of the _cliff_ , and I can hear _Mr. T_ and that tricky _turkey_ down there sniggering about sending me on a search for the **wild goose**.;2) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 28-6-2008(22): _Mr T_ is sent on a mission to find a **wild goose** that swallowed some important, top-secret chemicals (they were in a baggie, so he has to find it before it dissolves!). After searching for clues and tracks, he finds it - and backs it up against a cliff. In a heroic move, _Mr T_ jumps off the _cliff_ , grabs the **wild goose** , and lands on the ground on his back, protecting the volatile **wild goose**. He then looks at it - wait - this isn't the **wild goose** , this is a mere _turkey_! Sent on a **wild goose** chase!;3) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(11): MR.T wanted to catch a **wild goose** for dinner but all he found was a TURKEY that fell off a CLIFF.;4) [[koohiikun](http://kanji.koohii.com/profile/koohiikun)] 10-6-2010(5): Sent on a **wild goose** chase by the A-Team, we find _Mr. T_ has cornered a _turkey_ under a _cliff_. "I pity da foo sent me on this **wild goose** chase only to corner a turkey under this damn cliff! says Mr. T.;5) [[blannk](http://kanji.koohii.com/profile/blannk)] 16-4-2010(3): A **wild goose** chase that leads directly to the 2nd of 14 _turkey_ fatalities in RtK3. The _person primitive_ chasing the _turkey_ s/he falsely believed to be a **wild goose** came to a sad end, along with the _turkey_ , of course (they can flutter but not fly), r.i.p., over the _cliff_ , sayonara. Careful 鴻 [large goose](../v4/2313.html) (#2313 鴻).
贋;counterfeit;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 19-8-2006(49): The police hoped to catch the crooks making **counterfeit** _money_ , but it all turned out to be a _wild goose_ chase.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 11-5-2009(27): You catch a _wild goose_ that lays _money_ ( _shells_ ) instead of eggs. Unfortunately the bank declares it **counterfeit**.;3) [[Machine_Gun_Cat](http://kanji.koohii.com/profile/Machine_Gun_Cat)] 8-7-2009(8): Some criminal is trying t0o make **counterfeit** １０００円 notes but the dumb shit puts a goose picture on the back instead of a 鶴 .;4) [[theasianpleaser](http://kanji.koohii.com/profile/theasianpleaser)] 20-1-2009(3): The mob distributes its **counterfeit** _money_ by stuffing it into _wild goose_ dolls which they sell as a front to real business in the back.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 13-10-2008(1): Perhaps deservedly, the _money Haruhi's_ club made from selling the [wild goose](../v4/2150.html) (#2150 雁) was **counterfeit** , just like their _turkey_.
厨;kitchen;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 17-5-2007(49): What happened to the **kitchen**? It was here a second ago… Well, it fell off the _cliff_. See the _table_ down there below the edge of the _cliff_? Maybe we can _glue_ it back together. Of course, first we've got to retrieve the **kitchen** from the base of the _cliff_.;2) [[Megaqwerty](http://kanji.koohii.com/profile/Megaqwerty)] 27-6-2007(14): We started to [fight](../v4/1629.html) (#1629 闘) in the **kitchen** , but we kept on moving about and, before I knew it, she had me cornered atop the _cliff_ face.;3) [[Corodon](http://kanji.koohii.com/profile/Corodon)] 26-11-2011(9): I took the natto ( _bean glue_ ) out of the **kitchen** and threw it off a _cliff_ like any rational person would.;4) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(7): Dammit, the **kitchen** TABLE fell of a CLIFF, I wonder if I can glue it together.;5) [[eckbw](http://kanji.koohii.com/profile/eckbw)] 3-7-2011(1): In the **kitchen** , Mr Bean is trying to cook a turkey but manages to glue it to his head instead. His girlfriend has to help him get it off but when it comes off it flies out the window and down a cliff outside.
仄;insinuate;;;1) [[dukelexon](http://kanji.koohii.com/profile/dukelexon)] 14-3-2008(54): So, you found a dead _person_ abandoned at the bottom of the _cliff_? You think I might be involved? What are you trying to **insinuate**?!;2) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(11): That is it. I have had enough of your **insinuations**. Off the CLIFF you go. Bye Bye.;3) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 14-3-2007(7): That nasty _person_ likes to **insinuate** that I am afraid of heights and can't climb a _cliff_.;4) [[Megaqwerty](http://kanji.koohii.com/profile/Megaqwerty)] 13-6-2007(6): Are you trying to **insinuate** that _Mr. T_ pushed someone off a _cliff_?;5) [[Shakunatz](http://kanji.koohii.com/profile/Shakunatz)] 13-2-2011(2): ほの‐か [ 仄か ] [①光・色・香りなどが、かすかにそれと感じられるさま。②心や意識がはっきりしないさま。](midori://search?text=①光・色・香りなどが、かすかにそれと感じられるさま。②心や意識がはっきりしないさま。) by dukelexon: So, you found a dead person abandoned at the bottom of the cliff? You think I might be involved? What are you trying to **insinuate**?!
哨;scout;;;1) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 1-11-2007(41): Boy **scout** s nowadays blow _sparks_ out of their _mouth_ to start a fire. Sure beats rubbing two sticks together .;2) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 22-7-2009(29): Good **scouts** [extinguish](../v4/144.html) (#144 消) _candles_ with their _mouth_ , not with water. Otherwise the smoke might tell the enemy where they are.;3) [[ikmys](http://kanji.koohii.com/profile/ikmys)] 23-4-2007(9): Boy **scout** s sure live for those merits badges! Well, this one **scout** in particular got his fire-making badge quick, he would just open and shut his filling-filled braces-laden _mouth_ , and the _sparks_ would fly right out.;4) [[Megaqwerty](http://kanji.koohii.com/profile/Megaqwerty)] 13-6-2007(7): The **scout** reports with his _mouth_ what he saw by _candle_.;5) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(1): Boy **scout** s put CANDLES inside JACK-O-LANTERNS.
咎;reprehend;;;1) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 15-2-2007(57): _Each_ time I see this kanji I **reprehend** the _person_ primitive for knocking the _each_ primitive out of shape.;2) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 24-4-2007(15): You only **reprehend** him because he is reprehensible! He _walks around_ kicking _people_ , like he wants to dispose of them. And that's all on top of having a big _mouth_. Reprehensible! Of course you must be the one to **reprehend** him.;3) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-10-2008(5): You **reprehend** the _person_ butting in and messing you up _each_ time you try to write a kanji.;4) [[Nuriko](http://kanji.koohii.com/profile/Nuriko)] 7-5-2011(1): Suggested alternative keyword: nit-pick. "Quick nitpicking each and every person last person you meet!".;5) [[decals](http://kanji.koohii.com/profile/decals)] 22-1-2011(1): Here we have a person opening their mouth and getting **reprimand** ed with a swift kick in the butt (top part of kanji). I like this keyword better because I know the English word much better.
囁;whisper;;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 1-6-2007(51): If someone's **whisper** ing you'd need three ears close to his mouth to be able to hear it.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 22-7-2009(43): It's funny how if I just talk, no one listens, but if I **whisper** , _many ears_ are eager to hear what's coming from my _mouth_.;3) [[raulir](http://kanji.koohii.com/profile/raulir)] 29-4-2006(10): People are curious beasts. If you **whisper** something out of your mouth, there will be many ears listening. Or alternatively, think in terms of power levels: In kanjis, the same element can appear in groups of 1-3. Here we see mouth power level dropped to the minimum (whisper), which means that ear power level has to be raised to the maximum. (like mobile phones, which need more power when the bars indicating signal strength drop).;4) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 29-6-2009(7): What _one mouth_ **whisper** s, _three ears_ will overhear…;5) [[delenir](http://kanji.koohii.com/profile/delenir)] 4-6-2012(1): You would need 3 ears to hear a **whisper**.
喋;chatter;;;1) [[saizen](http://kanji.koohii.com/profile/saizen)] 3-4-2009(40): Two good friends looking at their childhood _tree_ house and remembering how it seemed like _generations_ ago since they were up in it **chatter** ing away all night.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-2-2007(28): _Mouths_ like to **chatter** about the new _generation_ on the _tree_.;3) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(14): The only thing that comes out of the MOUTHS of this GENERATION of young people, is **chatter** and **chatter**. I can't even escape the **chatter** on top of a TREE.;4) [[danie115](http://kanji.koohii.com/profile/danie115)] 27-12-2008(9): Tarzan **chatter** s with his mouth like the monkeys.;5) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 10-2-2007(8): The _butterflies_ , who do not look like insects anymore when they've just emerged (minus insects), open their new _mouths_ and start to **chatter** immediately.
嘩;quarrel;;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-2-2007(60): _Mouths_ **quarrel** over who is more _splendid_.;2) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 26-3-2007(22): These very competitive neighbours open their _mouths_ and **quarrel** every day about whose silage stack with flowers looks more _splendid_.;3) [[Neobeo](http://kanji.koohii.com/profile/Neobeo)] 14-1-2009(11): In a **quarrel** , sometimes things come out of _mouths_ which let's just say aren't too _splendid_.;4) [[jabberwockychortles](http://kanji.koohii.com/profile/jabberwockychortles)] 11-4-2010(3): In a **quarrel** , each person tries to make the most _splendid_ point come out of their _mouth_ [喧嘩＝](midori://search?text=喧嘩＝) （けん）か.;5) [[abaddon](http://kanji.koohii.com/profile/abaddon)] 2-5-2008(2): Mouth, splendid: The old and new queen of England having a **quarrel** in the rose garden and which rose is more _splendid_ than the other. You can't hear them, but you can see their _mouths_ working like life depends on it.
噂;gossip;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 19-2-2007(62): If you open your _mouth_ to **gossip** about people, it's usually the most fun if you have some juicy bits on people who are generally _revered_ , for instance that they are secretly glued to their bottle of Horned Whiskey.;2) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 19-5-2009(20): "Did you know that the most [revered](../v4/1439.html) (#1439 尊) [chieftain](../v4/2906.html) (#2906 酋) is not only a _horny_ guy, but an alcoholic, too? Ah, and I forgot, he also sniffs _glue_ … Ups, did that come out of my _mouth_? No, no… I NEVER **gossip**!".;3) [[tuuli](http://kanji.koohii.com/profile/tuuli)] 17-11-2008(10): **Gossip** is usually people opening their _mouth_ s to say things mean things about people that are secretly _revered_ by them.;4) [[synewave](http://kanji.koohii.com/profile/synewave)] 22-5-2007(3): Slags getting horny drinking booze and sniffing glue aren't to be _revered_. All they do is open their _mouths_ and **gossip** **gossip** **gossip**.;5) [[to_nihon](http://kanji.koohii.com/profile/to_nihon)] 14-12-2008(2): Into my _mouth_ I tipped another can of _Red Bull_ , only to find out, to my shock, that someone had put _glue_ all over the lip of the can! Now ith thtuck to mah lip and everybodyth **gossip** ing about me…
咳;cough;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 29-4-2007(72): I looked up, opened my _mouth_ and suddenly an _acorn_ fell in! I had to **cough** it up quickly so that I wouldn't choke.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 21-10-2008(12): A squirrel's _mouth_ **cough** s up an _acorn_.;3) [[melchan](http://kanji.koohii.com/profile/melchan)] 9-8-2009(9): You start **cough** ing hard and suddenly an acorn pops out of your mouth o.O.;4) [[icamonkey](http://kanji.koohii.com/profile/icamonkey)] 28-7-2009(3): A squirrel has his _mouth_ full of _acorns_ , when his buddies come in. He knows they'll want some, so he tries to keep his mouth shut with all the acorns packed in there, but he **cough** s and they all come spilling out. <http://img168.imageshack.us/img168/7205/2481064cx2.jpg>.;5) [[nussram](http://kanji.koohii.com/profile/nussram)] 29-12-2012(1): You **cough** up a storm until an _acorn_ pops out of your _mouth_. The squirrel from “Ice Age” jumps you immediately.
喧;clamor;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 12-2-2007(79): To **clamor** means to open your _mouth_ and _proclaim_ loudly your opinions.;2) [[herman](http://kanji.koohii.com/profile/herman)] 22-11-2008(16): I picture those guys on the street in Japan with a megaphone next to their mouth proclaiming something very loudly and creating a **clamor** being totally annoying.;3) [[ikmys](http://kanji.koohii.com/profile/ikmys)] 24-4-2007(7): For this keyword, I am reminded of the Night Before Christmas, with the father awakening to see what was the **clamor** , and his _mouth_ dropping open as he sees the fat bearded man _span_ ning the _rooftops_ (bounding from one house to the other).;4) [[Django](http://kanji.koohii.com/profile/Django)] 26-11-2009(2): At a music festival there is a great **clamour** for _Mick Jagger_ to depart the stage and for _The Proclaimers_ to come on, much to the chagrin of the Englishman.;5) [[kapalama](http://kanji.koohii.com/profile/kapalama)] 3-11-2011(1): 喧嘩 , 喧しい , (2 readings), 喧噪 ,[clamor](../v4/2163.html) (#2163 喧) ケン( 宣 ), (かまびすしい), やかましい … Parts: 口 , 宣 (cf: 宣伝 [proclaim](../v4/188.html) (#188 宣), 恒久平和 620) … Similar Keywords: 騒ぐ [boisterous](../v4/1985.html) (#1985 騒), 喧嘩 [clamor](../v4/2163.html) (#2163 喧) … Story: "The _Proclaimers_ " make such a **Clamor** with their Mouths as they walk 500 miles, and it is all to start a fight.
叩;bash;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 16-3-2007(80): These &^% _stamps_ won't stay fixed to the envelop when I lick them with my _mouth_. No matter how hard I **bash** them, they come loose every time. Aargh!;2) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 14-5-2009(28): For me, the kanji looks like a picture of two eyes. Somebody **bash** ed the right one until it burst open. Ugh… Put a stamp on it - I don't want to see it!;3) [[oregum](http://kanji.koohii.com/profile/oregum)] 2-8-2010(14): The STAMP collector **BASH** ED me in the MOUTH for using his STAMPS on my letters.;4) [[gavmck](http://kanji.koohii.com/profile/gavmck)] 3-8-2010(5): It was an unlucky fate for [fate](../v4/1400.html) (#1400 命) 命 to be **bash** ed in by the other kanji when it missed a kanji 'meeting'.;5) [[Machine_Gun_Cat](http://kanji.koohii.com/profile/Machine_Gun_Cat)] 9-7-2009(3): Hey, if you **bash** somebody in the mouth and your wearing a ring it kinda leaves a stamp on their skin… Cool do it again, do it again.
嘘;fib;;;1) [[Raichu](http://kanji.koohii.com/profile/Raichu)] 18-12-2007(99): うそ = Something void of truth coming from your mouth.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 22-7-2009(19): A statement _void_ of truth uttered by a _mouth_ is a **fib**.;3) [[herman](http://kanji.koohii.com/profile/herman)] 22-11-2008(5): Instead of BS, a **fib** is TS: tiger shit coming out of your mouth.;4) [[dukelexon](http://kanji.koohii.com/profile/dukelexon)] 16-3-2008(4): When you open your _mouth_ to tell a **fib** , you leave a colossal _void_ where the truth used to be.;5) [[sabretou](http://kanji.koohii.com/profile/sabretou)] 18-9-2011(2): If you keep **fibbing** with that _mouth_ , young mister, you'll go straight to the _void_ when you're dead!
啄;peck at;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 12-4-2007(47): Just like the ones on a rhinoceros, there are little birds who like to **peck at** the skin near the _mouth_ of a _sow_ and clean it.;2) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 7-10-2009(10): A scavenger bird is **pecking at** the _mouth_ of a dead _pig_ in a field. The snout and tongue are the most delicious parts of the carrion.;3) [[gfb345](http://kanji.koohii.com/profile/gfb345)] 16-4-2010(6): The typical story of _anorexia nervosa_ : a pitiful emaciated girl who doesn't really eat, but rather just **PECK** s **AT** her food, keeping her _MOUTH_ as tiny as a sparrow's beak, all the while thinking of herself as a gigantic _SOW_. [thx CharleyGarrett].;4) [[gavmck](http://kanji.koohii.com/profile/gavmck)] 15-3-2010(3): The _mouth_ of a _sow_ cannot **peck at** things. That's what birds do.;5) [[Corodon](http://kanji.koohii.com/profile/Corodon)] 28-11-2011(1): The _mouth_ of the _sow_ **pecks at** food. She's tired of being called a fat pig, and wants to lose weight.
吠;barking;;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-2-2007(51): The _mouth_ of a _chihuahua_ is good at **barking**.;2) [[ghinzdra](http://kanji.koohii.com/profile/ghinzdra)] 5-8-2009(5): The smaller the MOUTH the bigger the **barking** hence the fact the chihuaha is damn annoying…..;3) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 18-8-2006(2): Yep, a _chihuahua_ needs a _mouth_ for **barking**. Simple, really.;4) [[Hinsoog](http://kanji.koohii.com/profile/Hinsoog)] 22-3-2012(1): The _mouth_ of a _chihuahua_ , or any dog for that matter, seems to be able to bark incessantly long past a person's patience for it.;5) [[Gaignun](http://kanji.koohii.com/profile/Gaignun)] 6-2-2012(): The idiom "more **bark** than bite" is never truer than with the _chihuahua_. It runs its _mouth_ at everything that moves.
吊;dangle;;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 22-7-2009(41): A _towel_ **dangle** s under his _mouth_ to keep him clean at dinner.;2) [[synewave](http://kanji.koohii.com/profile/synewave)] 19-4-2007(21): **Dangle** a bib or _towel_ under my baby son's _mouth_.;3) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 11-10-2006(9): Instead of a napkin, he **dangle** d a _towel_ under his _mouth_ when he sat down to dinner.;4) [[perrin4869](http://kanji.koohii.com/profile/perrin4869)] 14-7-2010(5): A person being hanged by a towel.;5) [[DrWarrior12](http://kanji.koohii.com/profile/DrWarrior12)] 30-5-2009(3): Ok I'll say it. This is clearly a pictograph of someone using toilet paper (a towel) to pick a **dangly** one from their butt.
噛;chew;;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-2-2007(65): Use your _teeth_ to **chew** what you put in your _mouth_.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 9-9-2009(20): "To **chew** , you need a _mouth_ with _teeth_ " said the toothless granny.;3) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 12-1-2007(6): "When you open your _mouth_ , don't take in more food than you can handle, and **chew** it properly with your _teeth_ ", mum told us.;4) [[taikura](http://kanji.koohii.com/profile/taikura)] 16-1-2009(3): **Chewing** involves putting food in your _mouth_ and crushing it with your _teeth_. 生噛じり (superficial knowledge). 苦虫を噛みつぶしたよう (sour expression, as if having consumed a bitter bug). 噛み分ける (taste, distinguish, understand).;5) [[koohiikun](http://kanji.koohii.com/profile/koohiikun)] 16-6-2010(2): If you put **chew** (tobacco) in your _mouth_ , you may lose your _teeth_.
叶;within my ability;;;1) [[herman](http://kanji.koohii.com/profile/herman)] 2-1-2009(68): "come true" is a better keyword IMO. If you speak your wish 10 times it will come true.;2) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 22-10-2006(32): With his big _mouth_ he claims he can do _ten_ things at once. "It's all **within my ability** ", he boasts.;3) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 21-7-2008(10): 叶う (P), 適う , 敵う 【かなう】 (v5u) (1) (esp. 叶う ) to come true (wish), (2) (See 道理に適う ) (uk) to be suited, (3) (esp. 敵う ) to match (implies competition), to rival, to bear (e.g. I can't bear the heat), (P) 叶える 【かなえる】 (v1,vt) to grant (request, wish), (P) STORY: Christians say that if you pray with your MOUTH to the CROSS all of your WISHES will COME TRUE. Yeah right…;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 17-4-2007(8): Putting a _needle_ in my _mouth_ is **within my ability** , but…;5) [[Regular](http://kanji.koohii.com/profile/Regular)] 26-10-2010(3): It's **within my ability** to count from 0 to 10.
吻;sides of the mouth;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 21-1-2007(33): Look at the **sides of his _mouth_**! His moustache is tied into great _knots_. They're not even symetrical. Look at the _knots_ on the right side of the mouth! (though they're there on both **sides of the mouth** ….;2) [[Gwindarr](http://kanji.koohii.com/profile/Gwindarr)] 18-4-2008(20): Dimples. Those knots on the **sides of the mouth**. Too easy.;3) [[montecristo73](http://kanji.koohii.com/profile/montecristo73)] 10-9-2009(12): (Kanji used in the word kissing 接吻 = せっぷん) In a kiss mouths become like a single knot. In a good one, you use even the **sides of the mouth**.;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-10-2008(7): There is _not_ an _opening_ on the **sides of the mouth** (hopefully).;5) [[Elphalpo](http://kanji.koohii.com/profile/Elphalpo)] 2-8-2010(4): **Proboscis** (body part that projects from/near the mouth, e.g. the elephant's tusk, an insect's feeders, human lips, etc.): **Proboscis** often refers to a part of the _mouth_ , but _NOT_ necessarily. (Note: Proboscis is the more accurate keyword assigned by Heisig in the supplemental kanji list he recently released.).
吃;stammer;;;1) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 30-10-2007(50): "S… Si… S… Sir!" the _beggar's mouth_ **stammers** when appealing for some help from the business man. See the mouth open and close like a fish out of water would.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 8-4-2010(9): Most beggars _beg_ for money, but I see one _beg_ ging for a new _mouth_. I ask him why . . . "'Cos this _mouth_ **st-st-stammers** ".;3) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-2-2007(6): A _begging mouth_ **stammers** unintelligibly.;4) [[koohiikun](http://kanji.koohii.com/profile/koohiikun)] 21-6-2010(1): A _mouth_ that _begs_ often **stammer** s as when asking for sex, being held up with a gun, etc.;5) [[oregum](http://kanji.koohii.com/profile/oregum)] 16-3-2012(): The BEGGAR'S MOUTH **stammer** ed trying to form words.
噺;spin a tale;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 15-10-2006(73): He really can **spin a tale**. Every time he opens his _mouth_ , some _new_ and creative tale comes out.;2) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 9-2-2009(5): Oh yeah, suuure - _tell_ us a _new_ one…;3) [[errtu](http://kanji.koohii.com/profile/errtu)] 19-8-2010(2): Arabian nights. sherezada. nough said.;4) [[oregum](http://kanji.koohii.com/profile/oregum)] 7-1-2009(2): Every time you 0pen your MOUTH a NEW lie comes out. You really can **spin a tale** , but I don't believe a single word you say.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 15-2-2007(2): Something _new_ is always coming out of the _mouth_ of someone who can **spin a tale**.
